,Session,Site,Date_setup,Date_retr,Problem1_from,Problem1_to,ghm
313,Fall2017,3C,9/8/2017,10/26/2017,NA,NA,0.03096634
314,Fall2017,3D,8/31/2017,10/19/2017,NA,NA,0.025809041
315,Fall2017,3E,8/31/2017,10/19/2017,NA,NA,0.022140801
316,Fall2017,4A,9/6/2017,10/28/2017,NA,NA,0.023789718
317,Fall2017,4B,8/31/2017,10/19/2017,NA,NA,0.026148859
318,Fall2017,4C,9/12/2017,10/24/2017,NA,NA,0.040771377
319,Fall2017,4D,9/6/2017,10/19/2017,NA,NA,0.029684895
320,Fall2017,4E,8/31/2017,10/18/2017,NA,NA,0.026299582
321,Fall2017,5A,9/1/2017,10/5/2017,NA,NA,0.091197924
322,Fall2017,5B,9/1/2017,10/19/2017,NA,NA,0.029433448
323,Fall2017,5C,9/1/2017,10/19/2017,NA,NA,0.028189953
324,Fall2017,5D,9/1/2017,10/19/2017,NA,NA,0.014928796
325,Fall2017,5E,9/1/2017,10/19/2017,NA,NA,0.024910068
326,Fall2017,6A,9/7/2017,10/25/2017,NA,NA,0.059849416
327,Fall2017,6B,9/6/2017,10/25/2017,NA,NA,0.075673729
328,Fall2017,6C,9/7/2017,10/25/2017,NA,NA,0.090704319
329,Fall2017,6D,9/7/2017,10/25/2017,9/29/2017,10/25/2017,0.029944255
330,Fall2017,6E,9/7/2017,10/25/2017,NA,NA,0.071945162
331,Fall2017,7A,9/11/2017,10/24/2017,NA,NA,0.027527054
332,Fall2017,7B,9/11/2017,10/24/2017,NA,NA,0.039797928
333,Fall2017,7C,9/11/2017,10/25/2017,NA,NA,0.017441068
334,Fall2017,7D,9/5/2017,10/24/2017,NA,NA,0.043624403
335,Fall2017,7E,9/5/2017,10/24/2017,NA,NA,0.019609745
336,Fall2017,8A,9/5/2017,10/24/2017,NA,NA,0.058848885
337,Fall2017,8B,9/5/2017,10/24/2017,NA,NA,0.07682189
338,Fall2017,8C,9/8/2017,10/28/2017,10/27/2017,10/28/2017,0.054668195
339,Fall2017,8D,9/5/2017,10/24/2017,NA,NA,0.092550699
340,Fall2017,8E,9/5/2017,10/24/2017,NA,NA,0.049025573
341,Fall2017,9A,9/11/2017,10/24/2017,NA,NA,0.040152382
342,Fall2017,9B,9/12/2017,10/28/2017,NA,NA,0.018305946
343,Fall2017,9C,9/5/2017,10/24/2017,NA,NA,0.065057985
344,Fall2017,9D,9/5/2017,10/24/2017,9/5/2017,10/24/2017,0.015051369
345,Fall2017,9E,9/12/2017,10/28/2017,9/12/2017,10/28/2017,0.030240232
346,Fall2017,10A,9/6/2017,10/19/2017,NA,NA,0.034177664
347,Fall2017,10B,8/31/2017,10/18/2017,NA,NA,0.031022372
348,Fall2017,10C,9/1/2017,10/19/2017,10/7/2017,10/19/2017,0.017514941
349,Fall2017,10D,9/8/2017,10/18/2017,NA,NA,0.021564274
350,Fall2017,10E,8/31/2017,10/18/2017,10/1/2017,10/18/2017,0.029832314
351,Fall2017,11A,9/8/2017,10/23/2017,NA,NA,0.04342175
352,Fall2017,11B,9/3/2017,10/18/2017,NA,NA,0.064349919
353,Fall2017,11C,9/8/2017,10/23/2017,NA,NA,0.054601781
354,Fall2017,11D,9/3/2017,10/18/2017,NA,NA,0.075870855
355,Fall2017,11E,9/8/2017,10/23/2017,NA,NA,0.206229335
356,Fall2017,12A,9/8/2017,10/25/2017,NA,NA,0.051039612
357,Fall2017,12B,9/3/2017,10/18/2017,NA,NA,0.060619423
358,Fall2017,12C,9/8/2017,10/25/2017,NA,NA,0.041847896
359,Fall2017,12D,9/2/2017,10/17/2017,NA,NA,0.033449415
360,Fall2017,12E,9/6/2017,10/19/2017,NA,NA,0.051377078
361,Fall2017,13A,9/3/2017,10/18/2017,NA,NA,0.032113177
